Block 1,Block 2,Block 3,Block 4,subject_id
0 to 200,0 to 40,0 to -40,0 to -200,5ec78dfed068801ed6ca121c
0 to -200,0 to -200,0 to 40,0 to 200,613a6f7027aabdf561182e6a
100 to 300,0 to 200,0 to -200,0 to -200,5f2e46e5f48b2d1a8454d112
0 to 200,0 to -40,0 to -40,0 to -200,5c60c298af517e0001a00b00
0 to 40,100 to 300,0 to -200,0 to 40,61bb370140db417c1a138984
0 to 200,0 to 40,0 to -40,0 to -200,5f516a44067fba1b4c562a55
0 to -200,0 to -200,100 to 300,0 to 40,6430c599f0887cb443f8da9a
100 to 300,0 to 40,0 to -200,0 to -40,583748dafb65a0000128b059
0 to -40,0 to -200,0 to 40,0 to 200,6088a7e22d5b98ef3f813a22
0 to 200,0 to 40,0 to -40,0 to -200,605d34ffa51bd5dd5f8fad8e
0 to -200,0 to -200,0 to 40,100 to 300,5bb511c6689fc5000149c703
0 to 40,100 to 300,0 to -40,0 to -200,5df0932af9a01d0dabd9313d
0 to -200,0 to -40,0 to 40,0 to 200,5b40ff8b3d066d0001609b63
0 to 40,0 to 200,0 to -40,0 to -200,610bc6980e3d49dc4676585b
0 to -200,0 to -200,0 to 200,0 to 200,5b5a4c642696a70001ee1722
0 to -40,0 to -200,0 to 200,100 to 300,6072c272c57bbc78674883e9
0 to 200,0 to 40,0 to -200,0 to -40,55fb250177f33b000ccb212f
0 to -200,0 to -200,0 to 200,0 to 200,6449b6ac80df4eb6727b570c
0 to -40,0 to -200,0 to 200,100 to 300,60bf87acf2da5a898c0247db
0 to 200,100 to 300,0 to -200,0 to -200,614ec4145b443e6f24181b99
0 to -200,0 to -40,0 to 40,0 to 200,5eeb4be60e1a002243b3c096
0 to -200,0 to 40,0 to -200,0 to -200,611d09d451463e685461272c
100 to 300,0 to 40,0 to -40,0 to -200,610ea3fd151563720147eed8
0 to 40,0 to 200,0 to -200,0 to -40,5e87b0db5ca75a41e4d0480d
