rt,response,subject_id,study_id,session_id,block,sr,outcome,domain,order
3932.0,0,5ec78dfed068801ed6ca121c,64ad530e4483ba3cf33d797a,64baae42f50f86f454181df5,1.0,R,199.0,Gain,Gain & Loss
6121.0,1,5ec78dfed068801ed6ca121c,64ad530e4483ba3cf33d797a,64baae42f50f86f454181df5,1.0,S,103.0,Gain,Gain & Loss
4059.0,0,5ec78dfed068801ed6ca121c,64ad530e4483ba3cf33d797a,64baae42f50f86f454181df5,1.0,R,195.0,Gain,Gain & Loss
2123.0,1,5ec78dfed068801ed6ca121c,64ad530e4483ba3cf33d797a,64baae42f50f86f454181df5,1.0,S,100.0,Gain,Gain & Loss
2114.0,1,5ec78dfed068801ed6ca121c,64ad530e4483ba3cf33d797a,64baae42f50f86f454181df5,1.0,S,104.0,Gain,Gain & Loss
1447.0,0,5ec78dfed068801ed6ca121c,64ad530e4483ba3cf33d797a,64baae42f50f86f454181df5,1.0,R,203.0,Gain,Gain & Loss
1217.0,0,5ec78dfed068801ed6ca121c,64ad530e4483ba3cf33d797a,64baae42f50f86f454181df5,1.0,R,0.0,Gain,Gain & Loss
1938.0,1,5ec78dfed068801ed6ca121c,64ad530e4483ba3cf33d797a,64baae42f50f86f454181df5,1.0,S,102.0,Gain,Gain & Loss
2879.0,0,5ec78dfed068801ed6ca121c,64ad530e4483ba3cf33d797a,64baae42f50f86f454181df5,1.0,R,198.0,Gain,Gain & Loss
1745.0,0,5ec78dfed068801ed6ca121c,64ad530e4483ba3cf33d797a,64baae42f50f86f454181df5,1.0,R,203.0,Gain,Gain & Loss
1643.0,0,5ec78dfed068801ed6ca121c,64ad530e4483ba3cf33d797a,64baae42f50f86f454181df5,1.0,R,205.0,Gain,Gain & Loss
2040.0,1,5ec78dfed068801ed6ca121c,64ad530e4483ba3cf33d797a,64baae42f50f86f454181df5,1.0,S,105.0,Gain,Gain & Loss
1315.0,1,5ec78dfed068801ed6ca121c,64ad530e4483ba3cf33d797a,64baae42f50f86f454181df5,1.0,S,99.0,Gain,Gain & Loss
955.0,0,5ec78dfed068801ed6ca121c,64ad530e4483ba3cf33d797a,64baae42f50f86f454181df5,1.0,R,199.0,Gain,Gain & Loss
1092.0,0,5ec78dfed068801ed6ca121c,64ad530e4483ba3cf33d797a,64baae42f50f86f454181df5,1.0,R,204.0,Gain,Gain & Loss
923.0,0,5ec78dfed068801ed6ca121c,64ad530e4483ba3cf33d797a,64baae42f50f86f454181df5,1.0,R,204.0,Gain,Gain & Loss
