"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","block","sr","outcome","accuracy"
"16209","<p> Welcome to the experiment. </p> <p> Press any key to begin. </p>","enter","html-keyboard-response","0","16219","0.0-0.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","","","",""
"14282","<object 
      type=""application/pdf"" 
      data=""PIL.pdf"" 
      width=""900""
      height=""500""
      > 
      </object>
      <p>Press any key to continue.</p>
      ","enter","html-keyboard-response","1","30510","0.0-1.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","","","",""
"4200","<p>By checking the box below, I confirm that:</p>
      <p>  1.	I have read and understand the information sheet for the above study. 
        I have had the opportunity to consider the information, ask questions and have 
        had these answered satisfactorily. </p>
      <p>  2.	I understand that my participation is voluntary and that I am free to withdraw 
        at any time without giving any reason, without my rights being affected.</p>
      <p>  3.	I understand that data collected during the study, may be looked at by individuals 
        from The University of Warwick. I give permission for these individuals to have access to my data.</p>
      <p>  4.	I understand that my choice and response time in the study will be recorded.</p> 
      <p>  5.	I understand that my anonymized data will be made publicly available to the scientific 
        community. There will be no way to tie these anonymized data back to me personally. </p>
      <p>  6.	I understand that my data may be used in future research. </p>
      <p>  7.  I agree to take part in the above study.	</p>
      </div>
      <p> If you do not agree, please exit by closing the browser. </p>
      <p> I have read and agreed with the points above. </p>
      ","0","html-button-response","2","34716","0.0-2.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","","","",""
"10435","
        <p>This experiment should not take more than 15-20 minutes.</p>
        </div>
        <p>On the screen you will see two options, A and B.  
          You are required to choose between these options for 50 times(trials) without any prior information.
          This constitutes one block. You will have 4 such blocks.</p>
        <p>You will start the experiment with 0 tokens.
          Each option will correspond to some loss or gain of tokens.
          Each block has different token values for each option.</p>
        <p>When you click on an option, the colour of the option will change to green.
          The tokens gained or lost will be shown under the choices after each trial.
          The tokens will accumulate within each block and are shown on the screen.
          After each block, the total tokens will be shown on the screen before the start of the next block.
          At the end of all 4 blocks, the accumulated tokens for all blocks will be shown.
          These tokens will convert to bonus payments you will recieve at the end of the experiment.</p>
          </div>
          <p> Press any key to read more about how the tokens convert to additional payments.</p>
      ","enter","html-keyboard-response","3","45152","0.0-3.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","","","",""
"108920","
        <p>You will receive Â£2.00 as a base payment for 15-20 minutes of your time along with 
          additional bonus payments.</p>
        </div>
        <p>The additional bonus payments are as follows:</p>
        <p>For 0 - 100 tokens, you will receive Â£0.50</p>
        <p>For 100 - 200 tokens, you will receive Â£1.00</p>
        <p>For 200 - 300 tokens, you will receive Â£1.50</p>
        <p>If you get 300 tokens or above, you will receive Â£2.00</p>
        <p>However, if the final accumulated tokens are negative, you will not receive any additional bonus 
          payments over the base payment.</p>
          </div>
          <p> Press any key to start the experiment.</p>
      ","enter","html-keyboard-response","4","154092","0.0-4.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","","","",""
"","","","pavlovia","5","155215","0.0-5.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","","","",""
"3066","<p> Block 1</div> Press any key to continue. </p>","enter","html-keyboard-response","6","158291","0.0-6.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","","","",""
"10869","<p> Total Tokens for current block: 0.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","7","169179","0.0-7.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","0","R","-41",""
"3652","<p> Total Tokens for current block: -41.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","8","172838","0.0-8.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","0","S","-24",""
"4047","<p> Total Tokens for current block: -65.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","9","176886","0.0-9.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","0","S","-20",""
"2885","<p> Total Tokens for current block: -85.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","10","179774","0.0-10.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","0","S","-23",""
"2288","<p> Total Tokens for current block: -108.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","11","182064","0.0-11.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","0","R","-45",""
"2244","<p> Total Tokens for current block: -153.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","12","184310","0.0-12.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","0","S","-21",""
"1959","<p> Total Tokens for current block: -174.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","13","186270","0.0-13.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","0","S","-25",""
"2019","<p> Total Tokens for current block: -199.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","14","188290","0.0-14.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","0","S","-25",""
"4206","<p> Total Tokens for current block: -224.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","15","192503","0.0-15.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","0","S","-19",""
"2197","<p> Total Tokens for current block: -243.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","16","194701","0.0-16.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","0","R","-36",""
"1598","<p> Total Tokens for current block: -279.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","17","196302","0.0-17.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","0","S","-16",""
"2532","<p> Total Tokens for current block: -295.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","18","198837","0.0-18.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","0","S","-18",""
"1655","<p> Total Tokens for current block: -313.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","19","200494","0.0-19.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","0","S","-18",""
"821","<p> Total Tokens for current block: -331.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","20","201325","0.0-20.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","0","S","-21",""
"775","<p> Total Tokens for current block: -352.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","21","202102","0.0-21.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","0","S","-25",""
"928","<p> Total Tokens for current block: -377.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","22","203037","0.0-22.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","0","S","-15",""
"694","<p> Total Tokens for current block: -392.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","23","203732","0.0-23.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","0","S","-20",""
"647","<p> Total Tokens for current block: -412.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","24","204381","0.0-24.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","0","S","-21",""
"776","<p> Total Tokens for current block: -433.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","25","205159","0.0-25.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","0","S","-21",""
"650","<p> Total Tokens for current block: -454.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","26","205811","0.0-26.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","0","S","-19",""
"712","<p> Total Tokens for current block: -473.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","27","206525","0.0-27.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","0","S","-22",""
"773","<p> Total Tokens for current block: -495.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","28","207300","0.0-28.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","0","S","-22",""
"729","<p> Total Tokens for current block: -517.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","29","208030","0.0-29.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","0","S","-24",""
"733","<p> Total Tokens for current block: -541.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","30","208765","0.0-30.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","0","S","-20",""
"800","<p> Total Tokens for current block: -561.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","31","209567","0.0-31.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","0","S","-21",""
"737","<p> Total Tokens for current block: -582.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","32","210306","0.0-32.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","0","S","-22",""
"685","<p> Total Tokens for current block: -604.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","33","210992","0.0-33.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","0","S","-17",""
"666","<p> Total Tokens for current block: -621.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","34","211660","0.0-34.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","0","S","-18",""
"768","<p> Total Tokens for current block: -639.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","35","212430","0.0-35.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","0","S","-16",""
"780","<p> Total Tokens for current block: -655.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","36","213213","0.0-36.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","0","S","-18",""
"723","<p> Total Tokens for current block: -673.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","37","213937","0.0-37.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","0","S","-22",""
"662","<p> Total Tokens for current block: -695.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","38","214601","0.0-38.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","0","S","-19",""
"674","<p> Total Tokens for current block: -714.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","39","215276","0.0-39.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","0","S","-20",""
"728","<p> Total Tokens for current block: -734.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","40","216005","0.0-40.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","0","S","-21",""
"827","<p> Total Tokens for current block: -755.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","41","216833","0.0-41.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","0","S","-21",""
"741","<p> Total Tokens for current block: -776.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","42","217575","0.0-42.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","0","S","-19",""
"830","<p> Total Tokens for current block: -795.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","43","218407","0.0-43.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","0","S","-16",""
"843","<p> Total Tokens for current block: -811.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","44","219251","0.0-44.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","0","S","-25",""
"698","<p> Total Tokens for current block: -836.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","45","219951","0.0-45.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","0","S","-17",""
"732","<p> Total Tokens for current block: -853.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","46","220685","0.0-46.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","0","S","-21",""
