Age,Gender,English,Hand,Vision,Education,subject_id
38,Male,No,Right-Handed,Corrected-to-Normal Vision,Bachelors Degree or Equivalent,5ec78dfed068801ed6ca121c
25,Male,No,Right-Handed,Normal Vision,Bachelors Degree or Equivalent,613a6f7027aabdf561182e6a
27,Male,No,Right-Handed,Corrected-to-Normal Vision,Masters Degree or Equivalent,5f2e46e5f48b2d1a8454d112
22,Male,No,Right-Handed,Normal Vision,Bachelors Degree or Equivalent,5c60c298af517e0001a00b00
35,Female,Yes,Right-Handed,Normal Vision,Masters Degree or Equivalent,61bb370140db417c1a138984
38,Male,Yes,Right-Handed,Corrected-to-Normal Vision,Bachelors Degree or Equivalent,5f516a44067fba1b4c562a55
53,Male,Yes,Right-Handed,Normal Vision,Bachelors Degree or Equivalent,6430c599f0887cb443f8da9a
40,Male,Yes,Left-Handed,Corrected-to-Normal Vision,Bachelors Degree or Equivalent,583748dafb65a0000128b059
30,Female,Yes,Right-Handed,Normal Vision,Bachelors Degree or Equivalent,6088a7e22d5b98ef3f813a22
26,Male,No,Right-Handed,Normal Vision,High School,605d34ffa51bd5dd5f8fad8e
46,Female,No,Right-Handed,Corrected-to-Normal Vision,Bachelors Degree or Equivalent,5bb511c6689fc5000149c703
27,Male,Yes,Right-Handed,Normal Vision,Bachelors Degree or Equivalent,5df0932af9a01d0dabd9313d
43,Female,Yes,Left-Handed,Corrected-to-Normal Vision,High School,5b40ff8b3d066d0001609b63
28,Male,No,Right-Handed,Normal Vision,Masters Degree or Equivalent,610bc6980e3d49dc4676585b
27,Female,Yes,Right-Handed,Normal Vision,Bachelors Degree or Equivalent,5b5a4c642696a70001ee1722
24,Female,No,Right-Handed,Corrected-to-Normal Vision,Masters Degree or Equivalent,6072c272c57bbc78674883e9
29,Prefer not to say,Yes,Right-Handed,Normal Vision,Bachelors Degree or Equivalent,55fb250177f33b000ccb212f
48,Male,Yes,Right-Handed,Normal Vision,Bachelors Degree or Equivalent,6449b6ac80df4eb6727b570c
21,Female,No,Right-Handed,Corrected-to-Normal Vision,Bachelors Degree or Equivalent,60bf87acf2da5a898c0247db
24,Female,Yes,Left-Handed,Corrected-to-Normal Vision,Bachelors Degree or Equivalent,614ec4145b443e6f24181b99
23,Male,No,Right-Handed,Normal Vision,High School,5eeb4be60e1a002243b3c096
38,Male,Yes,Fully Ambidextrous,Normal Vision,Bachelors Degree or Equivalent,611d09d451463e685461272c
26,Female,Yes,Left-Handed,Normal Vision,Bachelors Degree or Equivalent,610ea3fd151563720147eed8
30,Male,No,Right-Handed,Corrected-to-Normal Vision,Masters Degree or Equivalent,5e87b0db5ca75a41e4d0480d
23,Female,No,Right-Handed,Corrected-to-Normal Vision,Bachelors Degree or Equivalent,5e75329210ac300a26c58065
22,Female,Yes,Right-Handed,Normal Vision,Bachelors Degree or Equivalent,5ba641d1168e5e0001e4275d
22,Male,Yes,Right-Handed,Normal Vision,Bachelors Degree or Equivalent,62ce98befb7d0dbd39cc070d
33,Male,Yes,Right-Handed,Normal Vision,Bachelors Degree or Equivalent,6347200d8ded5172ec43e0bb
28,Male,No,Right-Handed,Corrected-to-Normal Vision,Masters Degree or Equivalent,612687a5a3c9d923c4050e47
25,Male,No,Left-Handed,Normal Vision,Masters Degree or Equivalent,60a80fbd13aba726d46b8f2e
29,Male,No,Right-Handed,Normal Vision,High School,5be3493a7e3c9b0001c4ccf2
28,Female,Yes,Right-Handed,Corrected-to-Normal Vision,High School,6447a4bd54ab5cb19fd4beab
20,Female,Yes,Right-Handed,Normal Vision,High School,60bab50bcdd5d7ad3ee97479
28,Male,No,Right-Handed,Corrected-to-Normal Vision,Masters Degree or Equivalent,5f21977dc0f15e0b2fc712a0
46,Male,Yes,Right-Handed,Corrected-to-Normal Vision,High School,5bb0df0871e1b2000176bfc2
36,Male,No,Right-Handed,Normal Vision,High School,612520bd6605794b27e6a0fd
32,Male,Yes,Right-Handed,Normal Vision,Bachelors Degree or Equivalent,5d64426653ba680017d9f63a
35,Male,Yes,Right-Handed,Normal Vision,Masters Degree or Equivalent,636542e86f99b8a5c4ed0461
54,Female,Yes,Right-Handed,Corrected-to-Normal Vision,Bachelors Degree or Equivalent,647e5f4c5b7dfbc365335f72
18,Female,Yes,Right-Handed,Corrected-to-Normal Vision,High School,64333e37b0fca53775bad01a
23,Male,No,Right-Handed,Normal Vision,Bachelors Degree or Equivalent,648db135a8d59502e4c50eae
26,Male,No,Right-Handed,Corrected-to-Normal Vision,Bachelors Degree or Equivalent,5e8a5a892f6f027054a83d88
20,Male,No,Right-Handed,Normal Vision,High School,604408285ea7974512737e72
41,Female,No,Right-Handed,Corrected-to-Normal Vision,Masters Degree or Equivalent,5dde680c40460edc4a5dc1a2
23,Male,No,Right-Handed,Normal Vision,Bachelors Degree or Equivalent,608adf0cc8637f7f395352b1
20,Male,No,Right-Handed,Normal Vision,Middle School,60ef5b1cf52939a80af77543
20,Male,No,Right-Handed,Normal Vision,High School,6090f6323a468814885fca1e
