"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","block","outcome","sr","accuracy"
"2987","<p> Welcome to the experiment. </p> <p> Press any key to begin. </p>"," ","html-keyboard-response","0","2994","0.0-0.0","5f1b2fe23bcef80c38d2a362","64ad530e4483ba3cf33d797a","64badc0415a4168c24a5bb6f","","","",""
"21830","<object 
      type=""application/pdf"" 
      data=""PIL.pdf"" 
      width=""900""
      height=""500""
      > 
      </object>
      <p>Press any key to continue.</p>
      "," ","html-keyboard-response","1","24838","0.0-1.0","5f1b2fe23bcef80c38d2a362","64ad530e4483ba3cf33d797a","64badc0415a4168c24a5bb6f","","","",""
"5394","<p>By checking the box below, I confirm that:</p>
      <p>  1.	I have read and understand the information sheet for the above study. 
        I have had the opportunity to consider the information, ask questions and have 
        had these answered satisfactorily. </p>
      <p>  2.	I understand that my participation is voluntary and that I am free to withdraw 
        at any time without giving any reason, without my rights being affected.</p>
      <p>  3.	I understand that data collected during the study, may be looked at by individuals 
        from The University of Warwick. I give permission for these individuals to have access to my data.</p>
      <p>  4.	I understand that my choice and response time in the study will be recorded.</p> 
      <p>  5.	I understand that my anonymized data will be made publicly available to the scientific 
        community. There will be no way to tie these anonymized data back to me personally. </p>
      <p>  6.	I understand that my data may be used in future research. </p>
      <p>  7.  I agree to take part in the above study.	</p>
      </div>
      <p> If you do not agree, please exit by closing the browser. </p>
      <p> I have read and agreed with the points above. </p>
      ","0","html-button-response","2","30242","0.0-2.0","5f1b2fe23bcef80c38d2a362","64ad530e4483ba3cf33d797a","64badc0415a4168c24a5bb6f","","","",""
"122467","
        <p>This experiment should not take more than 15-20 minutes.</p>
        </div>
        <p>On the screen you will see two options, A and B.  
          You are required to choose between these options for 50 times(trials) without any prior information.
          This constitutes one block. You will have 4 such blocks.</p>
        <p>You will start the experiment with 0 tokens.
          Each option will correspond to some loss or gain of tokens.
          Each block has different token values for each option.</p>
        <p>When you click on an option, the colour of the option will change to green.
          The tokens gained or lost will be shown under the choices after each trial.
          The tokens will accumulate within each block and are shown on the screen.
          After each block, the total tokens will be shown on the screen before the start of the next block.
          At the end of all 4 blocks, the accumulated tokens for all blocks will be shown.
          These tokens will convert to bonus payments you will recieve at the end of the experiment.</p>
          </div>
          <p> Press any key to read more about how the tokens convert to additional payments.</p>
      "," ","html-keyboard-response","3","152759","0.0-3.0","5f1b2fe23bcef80c38d2a362","64ad530e4483ba3cf33d797a","64badc0415a4168c24a5bb6f","","","",""
"19063","
        <p>You will receive ÂŁ2.00 as a base payment for 15-20 minutes of your time along with 
          additional bonus payments.</p>
        </div>
        <p>The additional bonus payments are as follows:</p>
        <p>For 0 - 100 tokens, you will receive ÂŁ0.50</p>
        <p>For 100 - 200 tokens, you will receive ÂŁ1.00</p>
        <p>For 200 - 300 tokens, you will receive ÂŁ1.50</p>
        <p>If you get 300 tokens or above, you will receive ÂŁ2.00</p>
        <p>However, if the final accumulated tokens are negative, you will not receive any additional bonus 
          payments over the base payment.</p>
          </div>
          <p> Press any key to start the experiment.</p>
      "," ","html-keyboard-response","4","171827","0.0-4.0","5f1b2fe23bcef80c38d2a362","64ad530e4483ba3cf33d797a","64badc0415a4168c24a5bb6f","","","",""
"","","","pavlovia","5","172897","0.0-5.0","5f1b2fe23bcef80c38d2a362","64ad530e4483ba3cf33d797a","64badc0415a4168c24a5bb6f","","","",""
"3954","<p> Block 1</div> Press any key to continue. </p>"," ","html-keyboard-response","6","176854","0.0-6.0","5f1b2fe23bcef80c38d2a362","64ad530e4483ba3cf33d797a","64badc0415a4168c24a5bb6f","","","",""
"2010","<p> Total Tokens for current block: 0.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","7","178902","0.0-7.0","5f1b2fe23bcef80c38d2a362","64ad530e4483ba3cf33d797a","64badc0415a4168c24a5bb6f","0","18","S",""
"2787","<p> Total Tokens for current block: 18.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","8","181692","0.0-8.0","5f1b2fe23bcef80c38d2a362","64ad530e4483ba3cf33d797a","64badc0415a4168c24a5bb6f","0","17","S",""
"2161","<p> Total Tokens for current block: 35.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","9","183856","0.0-9.0","5f1b2fe23bcef80c38d2a362","64ad530e4483ba3cf33d797a","64badc0415a4168c24a5bb6f","0","21","S",""
"1977","<p> Total Tokens for current block: 56.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","10","185837","0.0-10.0","5f1b2fe23bcef80c38d2a362","64ad530e4483ba3cf33d797a","64badc0415a4168c24a5bb6f","0","16","S",""
"1937","<p> Total Tokens for current block: 72.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","11","187829","0.0-11.0","5f1b2fe23bcef80c38d2a362","64ad530e4483ba3cf33d797a","64badc0415a4168c24a5bb6f","0","0","R",""
"1484","<p> Total Tokens for current block: 72.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","12","189318","0.0-12.0","5f1b2fe23bcef80c38d2a362","64ad530e4483ba3cf33d797a","64badc0415a4168c24a5bb6f","0","22","S",""
"1861","<p> Total Tokens for current block: 94.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","13","191183","0.0-13.0","5f1b2fe23bcef80c38d2a362","64ad530e4483ba3cf33d797a","64badc0415a4168c24a5bb6f","0","20","S",""
"1719","<p> Total Tokens for current block: 114.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","14","192905","0.0-14.0","5f1b2fe23bcef80c38d2a362","64ad530e4483ba3cf33d797a","64badc0415a4168c24a5bb6f","0","21","S",""
"1640","<p> Total Tokens for current block: 135.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","15","194550","0.0-15.0","5f1b2fe23bcef80c38d2a362","64ad530e4483ba3cf33d797a","64badc0415a4168c24a5bb6f","0","24","S",""
"2111","<p> Total Tokens for current block: 159.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","16","196665","0.0-16.0","5f1b2fe23bcef80c38d2a362","64ad530e4483ba3cf33d797a","64badc0415a4168c24a5bb6f","0","17","S",""
"2529","<p> Total Tokens for current block: 176.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","17","199197","0.0-17.0","5f1b2fe23bcef80c38d2a362","64ad530e4483ba3cf33d797a","64badc0415a4168c24a5bb6f","0","25","S",""
"1369","<p> Total Tokens for current block: 201.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","18","200570","0.0-18.0","5f1b2fe23bcef80c38d2a362","64ad530e4483ba3cf33d797a","64badc0415a4168c24a5bb6f","0","18","S",""
"1386","<p> Total Tokens for current block: 219.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","19","201958","0.0-19.0","5f1b2fe23bcef80c38d2a362","64ad530e4483ba3cf33d797a","64badc0415a4168c24a5bb6f","0","20","S",""
"985","<p> Total Tokens for current block: 239.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","20","202946","0.0-20.0","5f1b2fe23bcef80c38d2a362","64ad530e4483ba3cf33d797a","64badc0415a4168c24a5bb6f","0","21","S",""
"1158","<p> Total Tokens for current block: 260.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","21","204110","0.0-21.0","5f1b2fe23bcef80c38d2a362","64ad530e4483ba3cf33d797a","64badc0415a4168c24a5bb6f","0","19","S",""
"678","<p> Total Tokens for current block: 279.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","22","204790","0.0-22.0","5f1b2fe23bcef80c38d2a362","64ad530e4483ba3cf33d797a","64badc0415a4168c24a5bb6f","0","23","S",""
"237","<p> Total Tokens for current block: 302.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","23","205030","0.0-23.0","5f1b2fe23bcef80c38d2a362","64ad530e4483ba3cf33d797a","64badc0415a4168c24a5bb6f","0","20","S",""
"218","<p> Total Tokens for current block: 322.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","24","205251","0.0-24.0","5f1b2fe23bcef80c38d2a362","64ad530e4483ba3cf33d797a","64badc0415a4168c24a5bb6f","0","18","S",""
"172","<p> Total Tokens for current block: 340.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","25","205426","0.0-25.0","5f1b2fe23bcef80c38d2a362","64ad530e4483ba3cf33d797a","64badc0415a4168c24a5bb6f","0","24","S",""
"239","<p> Total Tokens for current block: 364.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","26","205668","0.0-26.0","5f1b2fe23bcef80c38d2a362","64ad530e4483ba3cf33d797a","64badc0415a4168c24a5bb6f","0","18","S",""
"359","<p> Total Tokens for current block: 382.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","27","206030","0.0-27.0","5f1b2fe23bcef80c38d2a362","64ad530e4483ba3cf33d797a","64badc0415a4168c24a5bb6f","0","24","S",""
"576","<p> Total Tokens for current block: 406.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","28","206610","0.0-28.0","5f1b2fe23bcef80c38d2a362","64ad530e4483ba3cf33d797a","64badc0415a4168c24a5bb6f","0","16","S",""
"291","<p> Total Tokens for current block: 422.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","29","206904","0.0-29.0","5f1b2fe23bcef80c38d2a362","64ad530e4483ba3cf33d797a","64badc0415a4168c24a5bb6f","0","24","S",""
"290","<p> Total Tokens for current block: 446.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","30","207199","0.0-30.0","5f1b2fe23bcef80c38d2a362","64ad530e4483ba3cf33d797a","64badc0415a4168c24a5bb6f","0","24","S",""
"289","<p> Total Tokens for current block: 470.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","31","207491","0.0-31.0","5f1b2fe23bcef80c38d2a362","64ad530e4483ba3cf33d797a","64badc0415a4168c24a5bb6f","0","22","S",""
"297","<p> Total Tokens for current block: 492.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","32","207792","0.0-32.0","5f1b2fe23bcef80c38d2a362","64ad530e4483ba3cf33d797a","64badc0415a4168c24a5bb6f","0","20","S",""
